Latitude,Longitude,Rx(dB),Best unit
-2.49287,-44.27316,22.20000,"1"
-2.49287,-44.26957,21.30000,"1"
-2.49287,-44.26597,15.60000,"1"
-2.49287,-44.26237,24.50000,"1"
-2.49287,-44.25877,20.50000,"1"
-2.49287,-44.25518,17.00000,"1"
-2.49287,-44.25158,17.00000,"1"
-2.49287,-44.24799,22.30000,"1"
-2.49287,-44.24438,22.50000,"1"
-2.49287,-44.24079,6.70000,"1"
-2.49287,-44.23719,12.40000,"1"
-2.49287,-44.23359,13.40000,"1"
-2.49287,-44.22999,7.90000,"1"
-2.49287,-44.22640,9.40000,"1"
-2.49287,-44.22281,9.40000,"1"
-2.49287,-44.21920,6.10000,"0"
-2.49287,-44.21561,6.00000,"0"
-2.49287,-44.21201,6.50000,"0"
-2.49287,-44.20841,1.10000,"0"
-2.49647,-44.30914,13.30000,"1"
-2.49647,-44.30554,12.80000,"1"
-2.49647,-44.30195,10.80000,"1"
-2.49647,-44.29835,17.90000,"1"
-2.49647,-44.29475,6.30000,"0"
-2.49647,-44.29116,5.20000,"0"
-2.49647,-44.28756,25.10000,"1"
-2.49647,-44.28396,27.90000,"1"
-2.49647,-44.28036,24.80000,"1"
-2.49647,-44.27676,22.10000,"1"
-2.49647,-44.27317,17.40000,"1"
-2.49647,-44.26957,24.70000,"1"
-2.49647,-44.26598,33.40000,"1"
-2.49647,-44.26237,28.00000,"1"
-2.49647,-44.25878,19.60000,"1"
-2.49647,-44.25518,18.90000,"1"
-2.49647,-44.25158,20.80000,"1"
-2.49647,-44.24799,17.30000,"1"
-2.49647,-44.24439,17.90000,"1"
-2.49647,-44.24079,20.60000,"1"
-2.49647,-44.23719,5.00000,"1"
-2.49647,-44.23360,10.30000,"1"
-2.49647,-44.23000,11.60000,"1"
-2.49647,-44.22640,9.80000,"1"
-2.49647,-44.22281,6.50000,"0"
-2.49647,-44.21920,0.30000,"0"
-2.49647,-44.21561,5.40000,"0"
-2.49647,-44.21201,4.90000,"0"
-2.49647,-44.20841,1.00000,"0"
-2.50006,-44.31634,5.70000,"0"
-2.50006,-44.31274,11.60000,"0"
-2.50006,-44.30914,12.00000,"0"
-2.50006,-44.30554,13.00000,"1"
-2.50006,-44.30195,13.00000,"1"
-2.50006,-44.29835,12.30000,"1"
-2.50006,-44.29475,11.10000,"0"
-2.50006,-44.29115,17.70000,"1"
-2.50006,-44.28756,13.90000,"1"
-2.50006,-44.28396,15.70000,"1"
-2.50006,-44.28036,25.20000,"1"
-2.50006,-44.27676,23.00000,"1"
-2.50006,-44.27317,33.50000,"1"
-2.50006,-44.26957,22.70000,"1"
-2.50006,-44.26597,30.40000,"1"
-2.50006,-44.26237,27.20000,"1"
-2.50006,-44.25878,35.10000,"1"
-2.50006,-44.25518,32.00000,"1"
-2.50006,-44.25158,21.30000,"1"
-2.50006,-44.24799,21.40000,"1"
-2.50006,-44.24438,19.40000,"1"
-2.50006,-44.24079,21.50000,"1"
-2.50006,-44.23719,8.60000,"1"
-2.50006,-44.23359,11.70000,"0"
-2.50006,-44.23000,12.50000,"0"
-2.50006,-44.22639,10.50000,"0"
-2.50006,-44.22280,3.80000,"0"
-2.50006,-44.21920,0.30000,"0"
-2.50006,-44.21561,7.00000,"0"
-2.50006,-44.21201,3.20000,"0"
-2.50006,-44.20841,0.00000,"0"
-2.50366,-44.31994,6.90000,"0"
-2.50366,-44.31634,9.60000,"0"
-2.50366,-44.31274,9.20000,"0"
-2.50366,-44.30914,9.30000,"0"
-2.50366,-44.30555,10.40000,"0"
-2.50366,-44.30195,9.00000,"0"
-2.50366,-44.29834,17.10000,"1"
-2.50366,-44.29475,16.80000,"1"
-2.50366,-44.29115,13.80000,"1"
-2.50366,-44.28756,16.70000,"1"
-2.50366,-44.28396,14.00000,"1"
-2.50366,-44.28036,27.40000,"1"
-2.50366,-44.27676,27.80000,"1"
-2.50366,-44.27317,23.50000,"1"
-2.50366,-44.26957,32.40000,"1"
-2.50366,-44.26597,28.70000,"1"
-2.50366,-44.26237,35.50000,"1"
-2.50366,-44.25877,37.00000,"1"
-2.50366,-44.25518,35.60000,"1"
-2.50366,-44.25158,35.50000,"1"
-2.50366,-44.24799,19.50000,"1"
-2.50366,-44.24439,18.90000,"1"
-2.50366,-44.24079,18.80000,"1"
-2.50366,-44.23719,13.90000,"0"
-2.50366,-44.23359,13.60000,"0"
-2.50366,-44.23000,12.80000,"0"
-2.50366,-44.22640,6.70000,"0"
-2.50366,-44.22280,7.50000,"1"
-2.50366,-44.21920,8.10000,"0"
-2.50366,-44.21561,7.60000,"0"
-2.50366,-44.21201,2.90000,"0"
-2.50366,-44.20842,3.80000,"0"
-2.50725,-44.31634,5.70000,"0"
-2.50725,-44.31274,7.50000,"0"
-2.50725,-44.30914,8.50000,"0"
-2.50725,-44.30555,11.80000,"0"
-2.50725,-44.30195,16.70000,"1"
-2.50725,-44.29835,9.90000,"0"
-2.50725,-44.29475,21.00000,"1"
-2.50725,-44.29116,17.80000,"1"
-2.50725,-44.28756,16.40000,"1"
-2.50725,-44.28396,17.50000,"1"
-2.50725,-44.28036,31.20000,"1"
-2.50725,-44.27676,32.20000,"1"
-2.50725,-44.27317,28.20000,"1"
-2.50725,-44.26957,39.30000,"1"
-2.50725,-44.26597,41.80000,"1"
-2.50725,-44.26237,40.40000,"1"
-2.50725,-44.25878,38.70000,"1"
-2.50725,-44.25518,40.80000,"1"
-2.50725,-44.25158,35.60000,"1"
-2.50725,-44.24798,22.70000,"1"
-2.50725,-44.24439,22.80000,"1"
-2.50725,-44.24080,16.70000,"1"
-2.50725,-44.23719,11.40000,"0"
-2.50725,-44.23360,13.30000,"0"
-2.50725,-44.23000,12.00000,"0"
-2.50725,-44.22640,10.50000,"0"
-2.50725,-44.22281,8.80000,"0"
-2.50725,-44.21920,6.90000,"0"
-2.50725,-44.21561,5.30000,"0"
-2.51084,-44.31274,6.90000,"0"
-2.51084,-44.30914,9.80000,"0"
-2.51084,-44.30554,9.20000,"0"
-2.51084,-44.30194,19.60000,"1"
-2.51084,-44.29835,13.60000,"1"
-2.51084,-44.29475,18.70000,"1"
-2.51084,-44.29115,13.20000,"1"
-2.51084,-44.28756,22.70000,"1"
-2.51084,-44.28395,18.50000,"1"
-2.51084,-44.28036,29.70000,"1"
-2.51084,-44.27676,29.60000,"1"
-2.51084,-44.27317,30.40000,"1"
-2.51084,-44.26957,32.60000,"1"
-2.51084,-44.26597,45.00000,"1"
-2.51084,-44.26237,53.70000,"1"
-2.51084,-44.25877,50.10000,"1"
-2.51084,-44.25518,41.70000,"1"
-2.51084,-44.25158,38.70000,"1"
-2.51084,-44.24798,28.70000,"1"
-2.51084,-44.24438,19.40000,"1"
-2.51084,-44.24079,16.50000,"1"
-2.51084,-44.23719,13.10000,"0"
-2.51084,-44.23360,12.30000,"0"
-2.51084,-44.23000,14.60000,"0"
-2.51084,-44.22639,14.00000,"0"
-2.51084,-44.22280,12.70000,"0"
-2.51084,-44.21920,6.40000,"0"
-2.51084,-44.21561,2.30000,"0"
-2.51444,-44.30914,8.50000,"0"
-2.51444,-44.30554,11.10000,"0"
-2.51444,-44.30194,12.70000,"0"
-2.51444,-44.29835,20.90000,"1"
-2.51444,-44.29475,14.40000,"1"
-2.51444,-44.29115,19.20000,"1"
-2.51444,-44.28756,19.30000,"1"
-2.51444,-44.28396,18.30000,"1"
-2.51444,-44.28036,23.20000,"1"
-2.51444,-44.27676,31.70000,"1"
-2.51444,-44.27317,30.40000,"1"
-2.51444,-44.26957,31.90000,"1"
-2.51444,-44.26597,44.30000,"1"
-2.51444,-44.26237,44.90000,"1"
-2.51444,-44.25878,46.00000,"1"
-2.51444,-44.25518,39.40000,"1"
-2.51444,-44.25158,28.40000,"1"
-2.51444,-44.24799,26.10000,"1"
-2.51444,-44.24439,27.70000,"1"
-2.51444,-44.24079,16.70000,"1"
-2.51444,-44.23719,14.30000,"0"
-2.51444,-44.23359,10.90000,"1"
-2.51444,-44.23000,12.50000,"0"
-2.51444,-44.22640,10.40000,"0"
-2.51444,-44.22280,9.40000,"0"
-2.51444,-44.21920,7.10000,"0"
-2.51444,-44.21561,4.50000,"0"
-2.51803,-44.30914,10.70000,"0"
-2.51803,-44.30555,14.00000,"0"
-2.51803,-44.30195,16.20000,"1"
-2.51803,-44.29835,17.60000,"1"
-2.51803,-44.29475,17.40000,"1"
-2.51803,-44.29116,23.10000,"1"
-2.51803,-44.28756,25.40000,"1"
-2.51803,-44.28396,26.00000,"1"
-2.51803,-44.28036,26.50000,"1"
-2.51803,-44.27676,34.00000,"1"
-2.51803,-44.27317,30.60000,"1"
-2.51803,-44.26957,40.20000,"1"
-2.51803,-44.26597,29.20000,"1"
-2.51803,-44.26237,44.00000,"1"
-2.51803,-44.25878,36.80000,"1"
-2.51803,-44.25518,27.10000,"1"
-2.51803,-44.25158,21.30000,"1"
-2.51803,-44.24799,19.70000,"1"
-2.51803,-44.24438,26.00000,"1"
-2.51803,-44.24079,21.50000,"0"
-2.51803,-44.23719,11.80000,"0"
-2.51803,-44.23359,8.50000,"0"
-2.51803,-44.23000,7.60000,"0"
-2.51803,-44.22640,8.20000,"0"
-2.51803,-44.22281,9.10000,"0"
-2.51803,-44.21921,6.90000,"0"
-2.51803,-44.21561,7.90000,"0"
-2.51803,-44.21201,6.60000,"0"
-2.52162,-44.30554,16.90000,"1"
-2.52162,-44.30194,16.40000,"1"
-2.52162,-44.29835,15.70000,"1"
-2.52162,-44.29475,17.40000,"1"
-2.52162,-44.29115,17.40000,"1"
-2.52162,-44.28756,16.30000,"1"
-2.52162,-44.28396,19.10000,"1"
-2.52162,-44.28036,27.80000,"1"
-2.52162,-44.27676,31.20000,"1"
-2.52162,-44.27317,26.80000,"1"
-2.52162,-44.26957,35.30000,"1"
-2.52162,-44.26597,31.00000,"1"
-2.52162,-44.26237,40.90000,"1"
-2.52162,-44.25878,32.50000,"1"
-2.52162,-44.25518,21.30000,"1"
-2.52162,-44.25158,15.60000,"1"
-2.52162,-44.24798,20.60000,"1"
-2.52162,-44.24438,21.70000,"1"
-2.52162,-44.24079,14.80000,"0"
-2.52162,-44.23719,16.60000,"0"
-2.52162,-44.23359,14.40000,"0"
-2.52162,-44.23000,10.00000,"0"
-2.52162,-44.22639,8.70000,"0"
-2.52162,-44.22280,8.70000,"0"
-2.52162,-44.21920,7.10000,"0"
-2.52162,-44.21561,7.90000,"0"
-2.52162,-44.21201,5.10000,"0"
-2.52162,-44.20841,3.40000,"0"
-2.52162,-44.20481,4.00000,"0"
-2.52162,-44.20121,3.20000,"0"
-2.52162,-44.19762,-0.10000,"0"
-2.52162,-44.19402,1.30000,"0"
-2.52162,-44.19042,0.70000,"0"
-2.52522,-44.30555,11.50000,"1"
-2.52522,-44.30195,11.10000,"1"
-2.52522,-44.29835,5.70000,"1"
-2.52522,-44.29475,25.80000,"1"
-2.52522,-44.29116,23.50000,"1"
-2.52522,-44.28756,23.20000,"1"
-2.52522,-44.28396,23.80000,"1"
-2.52522,-44.28036,21.90000,"1"
-2.52522,-44.27676,24.80000,"1"
-2.52522,-44.27317,23.30000,"1"
-2.52522,-44.26957,19.90000,"1"
-2.52522,-44.26597,19.80000,"1"
-2.52522,-44.26237,25.80000,"1"
-2.52522,-44.25877,29.40000,"1"
-2.52522,-44.25518,25.40000,"1"
-2.52522,-44.25158,21.20000,"1"
-2.52522,-44.24799,22.20000,"1"
-2.52522,-44.24439,23.60000,"0"
-2.52522,-44.24079,10.10000,"0"
-2.52522,-44.23719,15.00000,"0"
-2.52522,-44.23360,15.90000,"0"
-2.52522,-44.23000,16.10000,"0"
-2.52522,-44.22640,11.40000,"0"
-2.52522,-44.22281,11.00000,"0"
-2.52522,-44.21920,8.50000,"0"
-2.52522,-44.21561,10.90000,"0"
-2.52522,-44.21201,8.90000,"0"
-2.52522,-44.20841,11.40000,"0"
-2.52522,-44.20481,1.40000,"0"
-2.52522,-44.20122,0.10000,"0"
-2.52522,-44.19762,2.20000,"0"
-2.52522,-44.19402,6.80000,"0"
-2.52881,-44.35231,-0.20000,"0"
-2.52881,-44.34871,17.30000,"0"
-2.52881,-44.34512,10.20000,"0"
-2.52881,-44.33792,11.00000,"0"
-2.52881,-44.33433,7.80000,"0"
-2.52881,-44.33073,-1.70000,"0"
-2.52881,-44.32713,20.70000,"0"
-2.52881,-44.30554,12.10000,"0"
-2.52881,-44.30194,15.70000,"0"
-2.52881,-44.29835,13.90000,"0"
-2.52881,-44.29475,28.80000,"1"
-2.52881,-44.29116,26.00000,"1"
-2.52881,-44.28756,19.40000,"1"
-2.52881,-44.28396,26.50000,"1"
-2.52881,-44.28036,23.50000,"1"
-2.52881,-44.27677,21.10000,"1"
-2.52881,-44.27317,20.50000,"1"
-2.52881,-44.26957,15.40000,"1"
-2.52881,-44.26597,17.00000,"1"
-2.52881,-44.26238,20.50000,"1"
-2.52881,-44.25877,31.00000,"1"
-2.52881,-44.25518,34.20000,"1"
-2.52881,-44.25158,27.40000,"1"
-2.52881,-44.24799,24.90000,"1"
-2.52881,-44.24439,12.40000,"0"
-2.52881,-44.24079,8.70000,"0"
-2.52881,-44.23719,19.60000,"0"
-2.52881,-44.23359,19.90000,"0"
-2.52881,-44.23000,9.50000,"0"
-2.52881,-44.22640,17.60000,"1"
-2.52881,-44.22280,14.30000,"0"
-2.52881,-44.21921,13.20000,"0"
-2.52881,-44.21561,12.30000,"0"
-2.52881,-44.21201,12.40000,"0"
-2.52881,-44.20841,9.30000,"2"
-2.52881,-44.20481,0.90000,"0"
-2.52881,-44.20122,3.80000,"0"
-2.52881,-44.19762,3.30000,"0"
-2.52881,-44.19402,8.30000,"0"
-2.53241,-44.35591,3.50000,"0"
-2.53241,-44.35231,-1.30000,"0"
-2.53241,-44.34871,9.30000,"0"
-2.53241,-44.34512,1.50000,"0"
-2.53241,-44.34151,5.80000,"0"
-2.53241,-44.33792,6.00000,"0"
-2.53241,-44.33432,0.00000,"0"
-2.53241,-44.33073,13.70000,"0"
-2.53241,-44.32713,9.40000,"0"
-2.53241,-44.32352,8.10000,"0"
-2.53241,-44.31993,8.50000,"0"
-2.53241,-44.30555,9.70000,"0"
-2.53241,-44.30194,6.20000,"0"
-2.53241,-44.29834,12.10000,"0"
-2.53241,-44.29475,7.40000,"0"
-2.53241,-44.29115,25.00000,"1"
-2.53241,-44.28756,26.10000,"1"
-2.53241,-44.28395,20.30000,"0"
-2.53241,-44.28036,27.30000,"1"
-2.53241,-44.27676,22.60000,"1"
-2.53241,-44.27316,14.70000,"1"
-2.53241,-44.26957,18.80000,"1"
-2.53241,-44.26597,18.30000,"1"
-2.53241,-44.26237,22.80000,"1"
-2.53241,-44.25877,32.90000,"1"
-2.53241,-44.25518,11.20000,"0"
-2.53241,-44.25158,21.70000,"0"
-2.53241,-44.24799,12.20000,"0"
-2.53241,-44.24438,11.40000,"0"
-2.53241,-44.24079,9.40000,"0"
-2.53241,-44.23719,8.60000,"0"
-2.53241,-44.23359,5.20000,"0"
-2.53241,-44.23000,9.20000,"0"
-2.53241,-44.22639,16.00000,"0"
-2.53241,-44.22280,11.20000,"0"
-2.53241,-44.21920,6.70000,"0"
-2.53241,-44.21560,11.20000,"0"
-2.53241,-44.21201,12.10000,"0"
-2.53241,-44.20841,8.20000,"0"
-2.53241,-44.20481,3.60000,"0"
-2.53241,-44.20121,7.70000,"0"
-2.53241,-44.19762,8.60000,"0"
-2.53600,-44.35591,1.60000,"3"
-2.53600,-44.35231,3.80000,"0"
-2.53600,-44.34871,1.50000,"0"
-2.53600,-44.34512,2.60000,"0"
-2.53600,-44.34152,3.60000,"0"
-2.53600,-44.33792,5.00000,"0"
-2.53600,-44.33432,1.00000,"0"
-2.53600,-44.33073,3.90000,"0"
-2.53600,-44.32713,11.60000,"0"
-2.53600,-44.32353,10.90000,"0"
-2.53600,-44.31993,7.30000,"0"
-2.53600,-44.30554,5.60000,"0"
-2.53600,-44.30195,5.60000,"0"
-2.53600,-44.29835,17.90000,"0"
-2.53600,-44.29475,8.40000,"0"
-2.53600,-44.29115,12.10000,"0"
-2.53600,-44.28756,9.20000,"0"
-2.53600,-44.28396,13.80000,"0"
-2.53600,-44.28036,11.50000,"0"
-2.53600,-44.27676,23.30000,"1"
-2.53600,-44.27317,16.30000,"1"
-2.53600,-44.26957,22.80000,"1"
-2.53600,-44.26597,17.80000,"1"
-2.53600,-44.26237,21.30000,"1"
-2.53600,-44.25878,10.00000,"0"
-2.53600,-44.25518,6.60000,"0"
-2.53600,-44.25158,6.50000,"0"
-2.53600,-44.24798,7.00000,"0"
-2.53600,-44.24438,9.70000,"0"
-2.53600,-44.24079,10.00000,"1"
-2.53600,-44.23719,4.10000,"0"
-2.53600,-44.23359,7.10000,"1"
-2.53600,-44.23000,13.20000,"0"
-2.53600,-44.22640,16.80000,"0"
-2.53600,-44.22280,12.30000,"0"
-2.53600,-44.21920,3.10000,"0"
-2.53600,-44.21561,8.10000,"0"
-2.53600,-44.21201,10.60000,"0"
-2.53600,-44.20841,11.90000,"0"
-2.53600,-44.20481,5.10000,"0"
-2.53600,-44.20122,0.60000,"0"
-2.53600,-44.19762,4.00000,"0"
-2.53959,-44.35591,7.80000,"0"
-2.53959,-44.35231,9.10000,"0"
-2.53959,-44.34871,11.40000,"0"
-2.53959,-44.34512,0.40000,"0"
-2.53959,-44.34151,6.90000,"0"
-2.53959,-44.33792,4.10000,"0"
-2.53959,-44.33432,9.40000,"0"
-2.53959,-44.33073,7.30000,"0"
-2.53959,-44.32713,9.80000,"0"
-2.53959,-44.32353,4.60000,"0"
-2.53959,-44.31993,6.80000,"0"
-2.53959,-44.31634,7.80000,"0"
-2.53959,-44.30554,7.10000,"0"
-2.53959,-44.30195,6.00000,"0"
-2.53959,-44.29835,12.60000,"0"
-2.53959,-44.29475,11.70000,"0"
-2.53959,-44.29115,9.30000,"0"
-2.53959,-44.28756,14.30000,"0"
-2.53959,-44.28396,11.30000,"0"
-2.53959,-44.28036,10.70000,"0"
-2.53959,-44.27676,21.20000,"0"
-2.53959,-44.27317,18.70000,"1"
-2.53959,-44.26957,17.30000,"0"
-2.53959,-44.26597,22.40000,"1"
-2.53959,-44.26237,21.70000,"1"
-2.53959,-44.25878,11.70000,"1"
-2.53959,-44.25518,13.10000,"1"
-2.53959,-44.25158,9.90000,"0"
-2.53959,-44.24798,7.70000,"0"
-2.53959,-44.24439,10.60000,"0"
-2.53959,-44.24079,16.20000,"0"
-2.53959,-44.23719,15.40000,"0"
-2.53959,-44.23360,12.40000,"0"
-2.53959,-44.23000,7.80000,"0"
-2.53959,-44.22640,13.00000,"0"
-2.53959,-44.22280,9.90000,"0"
-2.53959,-44.21921,5.80000,"0"
-2.53959,-44.21561,6.70000,"0"
-2.53959,-44.21201,9.90000,"0"
-2.53959,-44.20841,11.00000,"0"
-2.53959,-44.20481,13.60000,"0"
-2.53959,-44.20122,13.60000,"2"
-2.53959,-44.19762,6.80000,"0"
-2.54319,-44.35591,2.30000,"3"
-2.54319,-44.35231,7.90000,"0"
-2.54319,-44.34871,3.20000,"0"
-2.54319,-44.34512,10.60000,"0"
-2.54319,-44.34151,7.10000,"0"
-2.54319,-44.33792,0.40000,"0"
-2.54319,-44.33432,7.70000,"0"
-2.54319,-44.33073,5.30000,"0"
-2.54319,-44.32713,3.90000,"0"
-2.54319,-44.32353,11.60000,"0"
-2.54319,-44.31993,7.40000,"0"
-2.54319,-44.31634,8.40000,"0"
-2.54319,-44.31274,6.30000,"0"
-2.54319,-44.30914,9.00000,"0"
-2.54319,-44.30554,9.00000,"0"
-2.54319,-44.30195,8.10000,"0"
-2.54319,-44.29834,8.10000,"0"
-2.54319,-44.29475,8.90000,"0"
-2.54319,-44.29115,12.80000,"0"
-2.54319,-44.28756,11.30000,"0"
-2.54319,-44.28395,9.40000,"0"
-2.54319,-44.28036,12.90000,"0"
-2.54319,-44.27676,14.10000,"0"
-2.54319,-44.27317,17.00000,"0"
-2.54319,-44.26957,22.20000,"1"
-2.54319,-44.26597,20.90000,"1"
-2.54319,-44.26237,22.70000,"1"
-2.54319,-44.25878,15.70000,"1"
-2.54319,-44.25518,19.10000,"0"
-2.54319,-44.25158,12.30000,"0"
-2.54319,-44.24798,9.70000,"0"
-2.54319,-44.24438,6.70000,"0"
-2.54319,-44.24079,11.60000,"0"
-2.54319,-44.23719,9.60000,"0"
-2.54319,-44.23359,5.80000,"0"
-2.54319,-44.23000,3.90000,"0"
-2.54319,-44.22639,8.10000,"0"
-2.54319,-44.22280,10.50000,"0"
-2.54319,-44.21920,6.80000,"0"
-2.54319,-44.21560,8.70000,"0"
-2.54319,-44.21201,8.00000,"0"
-2.54678,-44.35591,5.40000,"3"
-2.54678,-44.35231,9.30000,"0"
-2.54678,-44.34871,0.70000,"0"
-2.54678,-44.34512,-3.10000,"0"
-2.54678,-44.34152,6.70000,"0"
-2.54678,-44.33792,7.80000,"0"
-2.54678,-44.33432,6.40000,"0"
-2.54678,-44.33073,8.70000,"0"
-2.54678,-44.32713,12.00000,"0"
-2.54678,-44.32353,9.20000,"0"
-2.54678,-44.31993,11.50000,"0"
-2.54678,-44.31634,10.40000,"0"
-2.54678,-44.31274,6.80000,"0"
-2.54678,-44.30914,7.10000,"0"
-2.54678,-44.30554,7.80000,"0"
-2.54678,-44.30194,8.70000,"0"
-2.54678,-44.29835,7.80000,"0"
-2.54678,-44.29475,13.20000,"0"
-2.54678,-44.29116,11.60000,"0"
-2.54678,-44.28756,14.80000,"0"
-2.54678,-44.28396,13.30000,"0"
-2.54678,-44.28036,7.00000,"0"
-2.54678,-44.27676,12.50000,"0"
-2.54678,-44.27317,10.50000,"0"
-2.54678,-44.26957,10.70000,"0"
-2.54678,-44.26597,20.10000,"1"
-2.54678,-44.26237,26.20000,"1"
-2.54678,-44.25878,16.90000,"1"
-2.54678,-44.25518,20.20000,"0"
-2.54678,-44.25158,13.10000,"0"
-2.54678,-44.24798,10.60000,"0"
-2.54678,-44.24439,7.50000,"0"
-2.54678,-44.24079,6.50000,"0"
-2.54678,-44.23719,4.20000,"0"
-2.54678,-44.23359,5.00000,"0"
-2.54678,-44.23000,12.90000,"0"
-2.54678,-44.22640,9.70000,"0"
-2.54678,-44.22280,17.10000,"0"
-2.54678,-44.21920,13.40000,"0"
-2.54678,-44.21561,8.70000,"0"
-2.54678,-44.21201,5.90000,"0"
-2.54678,-44.20841,10.70000,"0"
-2.55037,-44.35591,4.40000,"3"
-2.55037,-44.35231,5.50000,"3"
-2.55037,-44.34872,13.80000,"0"
-2.55037,-44.34512,8.70000,"0"
-2.55037,-44.34152,3.20000,"0"
-2.55037,-44.33792,6.30000,"0"
-2.55037,-44.33432,8.40000,"0"
-2.55037,-44.33073,11.40000,"0"
-2.55037,-44.32713,10.30000,"0"
-2.55037,-44.32353,4.60000,"0"
-2.55037,-44.31993,3.00000,"0"
-2.55037,-44.31634,4.90000,"0"
-2.55037,-44.31274,5.60000,"0"
-2.55037,-44.30914,2.80000,"0"
-2.55037,-44.30554,7.30000,"0"
-2.55037,-44.30194,8.00000,"0"
-2.55037,-44.29835,11.70000,"0"
-2.55037,-44.29475,10.50000,"0"
-2.55037,-44.29115,9.00000,"0"
-2.55037,-44.28756,11.00000,"0"
-2.55037,-44.28395,8.50000,"0"
-2.55037,-44.28036,5.20000,"0"
-2.55037,-44.27676,11.50000,"0"
-2.55037,-44.27317,11.40000,"0"
-2.55037,-44.26957,4.40000,"0"
-2.55037,-44.26598,18.30000,"0"
-2.55037,-44.26237,10.40000,"0"
-2.55037,-44.25877,20.30000,"1"
-2.55037,-44.25518,14.10000,"0"
-2.55037,-44.25158,14.90000,"0"
-2.55037,-44.24798,12.60000,"0"
-2.55037,-44.24439,9.80000,"0"
-2.55037,-44.24079,12.80000,"0"
-2.55037,-44.23719,13.20000,"0"
-2.55037,-44.23359,7.10000,"0"
-2.55037,-44.23000,10.10000,"0"
-2.55037,-44.22640,14.70000,"0"
-2.55037,-44.22280,16.70000,"0"
-2.55037,-44.21920,11.50000,"0"
